Binary	UpDownNotation	n	GridSize	KC
011	00	3	3x3	1.000000
111	00	3	3x3	1.000000
001	03	3	3x3	2.000000
001	03	3	3x3	2.000000
000	03	3	3x3	2.000000
010	03	3	3x3	2.000000
110	03	3	3x3	2.000000
101	03	3	3x3	2.000000
111	00	3	3x3	1.000000
100	00	3	3x3	1.000000
100	03	3	3x3	2.000000
011	03	3	3x3	2.000000
001	03	3	3x3	2.000000
101	02	3	3x3	2.000000
100	02	3	3x3	2.000000
000	03	3	3x3	2.000000
010	02	3	3x3	2.000000
101	00	3	3x3	1.000000
111	00	3	3x3	1.000000
010	02	3	3x3	2.000000
111	03	3	3x3	2.000000
000	02	3	3x3	2.000000
011	02	3	3x3	2.000000
010	02	3	3x3	2.000000
000	03	3	3x3	2.000000
010	02	3	3x3	2.000000
000	03	3	3x3	2.000000
001	02	3	3x3	2.000000
101	03	3	3x3	2.000000
101	02	3	3x3	2.000000
001	03	3	3x3	2.000000
011	02	3	3x3	2.000000
100	00	3	3x3	1.000000
001	02	3	3x3	2.000000
010	03	3	3x3	2.000000
011	00	3	3x3	1.000000
101	02	3	3x3	2.000000
011	02	3	3x3	2.000000
010	02	3	3x3	2.000000
101	03	3	3x3	2.000000
111	02	3	3x3	2.000000
101	00	3	3x3	1.000000
010	03	3	3x3	2.000000
011	00	3	3x3	1.000000
101	02	3	3x3	2.000000
101	02	3	3x3	2.000000
010	00	3	3x3	1.000000
100	03	3	3x3	2.000000
100	03	3	3x3	2.000000
110	03	3	3x3	2.000000
110	03	3	3x3	2.000000
001	03	3	3x3	2.000000
011	03	3	3x3	2.000000
010	02	3	3x3	2.000000
111	00	3	3x3	1.000000
000	03	3	3x3	2.000000
111	02	3	3x3	2.000000
101	03	3	3x3	2.000000
001	02	3	3x3	2.000000
000	02	3	3x3	2.000000
100	03	3	3x3	2.000000
000	02	3	3x3	2.000000
011	00	3	3x3	1.000000
010	02	3	3x3	2.000000
101	03	3	3x3	2.000000
111	02	3	3x3	2.000000
101	00	3	3x3	1.000000
000	02	3	3x3	2.000000
001	00	3	3x3	1.000000
011	03	3	3x3	2.000000
001	02	3	3x3	2.000000
000	00	3	3x3	1.000000
110	02	3	3x3	2.000000
111	02	3	3x3	2.000000
000	00	3	3x3	1.000000
011	03	3	3x3	2.000000
100	03	3	3x3	2.000000
111	02	3	3x3	2.000000
011	03	3	3x3	2.000000
100	02	3	3x3	2.000000
111	00	3	3x3	1.000000
001	02	3	3x3	2.000000
110	03	3	3x3	2.000000
110	03	3	3x3	2.000000
000	03	3	3x3	2.000000
110	02	3	3x3	2.000000
011	02	3	3x3	2.000000
111	02	3	3x3	2.000000
010	02	3	3x3	2.000000
101	00	3	3x3	1.000000
011	03	3	3x3	2.000000
