ID	OPC	CUSPS
1	28.0	1
2	15.75	1
3	16.0	1
4	17.5	1
5	25.625	1
6	28.625	3
7	25.5	2
8	19.0	1
9	39.75	3
10	17.5	1
11	25.875	2
12	63.125	1
13	50.75	1
15	17.0	1
16	15.625	1
17	35.5	1
18	17.75	1
19	25.0	2
20	19.75	1
21	28.375	3
22	18.75	3
23	33.75	1
24	21.25	2
25	19.75	2
26	25.0	3
27	29.25	2
28	26.5	3
29	19.125	1
30	30.25	1
31	50.375	1
32	38.625	3
33	22.75	3
34	21.5	1
35	16.75	1
36	34.5	2
37	20.625	1
38	20.375	1
39	13.5	1
40	28.0	2
41	19.125	3
42	18.0	3
43	50.75	2
44	46.5	1
45	85.25	1
46	52.0	1
47	25.75	3
50	29.0	3
51	28.5	1
52	28.0	1
53	26.0	1
54	40.25	4
55	18.25	3
56	24.25	2
57	46.5	1
58	28.0	3
59	30.5	1
60	49.75	3
61	21.25	2
62	37.0	2
63	84.625	1
64	36.375	2
65	50.5	1
66	26.625	1
67	20.75	1
68	29.75	3
69	21.25	3
70	19.125	1
71	18.5	3
72	20.25	1
73	46.25	1
74	63.5	3
75	25.0	1
76	36.625	2
77	19.0	1
78	75.25	1
79	25.25	1
80	30.25	1
81	36.125	1
82	22.5	3
83	100.875	1
84	19.5	3
86	29.0	1
87	18.5	3
88	27.125	2
89	75.125	1
90	40.5	1
91	63.5	4
92	25.5	3
93	31.375	1
94	22.75	2
95	18.75	3
96	29.0	1
97	41.25	1
98	19.25	1
99	22.5	1
100	21.75	2
101	45.875	1
102	28.0	3
103	29.0	1
104	22.75	3
105	21.25	1
106	31.0	3
107	16.25	1
108	25.0	2
109	22.25	2
110	36.25	1
111	31.0	2
112	26.75	1
113	43.75	2
114	22.375	3
115	38.5	1
116	49.0	1
117	25.125	1
118	21.75	3
119	26.5	3
120	20.0	3
121	21.75	1
122	33.625	3
123	16.5	1
124	32.125	2
125	36.875	3
126	27.0	1
127	22.5	3
128	28.25	1
129	23.75	1
130	21.25	1
131	27.75	3
132	104.5	1
134	41.0	2
135	23.125	2
136	18.25	1
137	33.0	3
138	34.625	2
139	32.0	2
140	19.75	1
141	26.75	2
142	16.75	1
143	47.125	1
144	25.25	4
145	19.5	1
146	32.125	2
147	45.625	1
148	50.5	3
149	27.25	3
150	29.25	1
151	32.625	3
152	39.0	3
153	20.25	1
154	32.375	3
155	24.875	2
156	46.625	3
157	25.0	1
158	19.375	2
159	25.125	2
160	21.25	2
161	32.25	1
162	28.0	1
163	19.0	1
164	15.25	1
165	18.5	1
166	40.0	4
167	19.875	3
168	21.875	2
169	19.75	1
170	36.75	1
171	17.375	1
172	29.0	3
173	21.0	2
174	16.375	1
175	29.875	1
176	29.375	1
177	25.0	1
178	24.0	2
179	14.5	1
180	19.625	3
181	16.25	1
182	25.75	3
183	28.875	3
184	20.0	2
185	98.5	3
186	20.875	3
187	31.875	1
188	19.125	1
189	27.125	2
190	19.75	1
191	13.25	1
193	32.5	1
194	127.25	1
195	37.25	2
196	18.125	1
197	14.0	1
198	44.125	4
199	47.25	1
200	36.625	3
201	19.25	2
202	19.0	2
203	27.875	1
204	13.5	1
205	20.25	1
206	118.0	1
207	82.5	1
208	19.5	1
209	47.5	1
210	67.5	3
211	43.25	2
212	25.5	3
213	27.25	3
214	39.25	2
215	22.25	1
216	30.25	4
217	35.375	1
218	18.5	3
219	33.0	2
220	34.625	1
221	17.5	1
222	14.5	1
223	19.0	2
224	20.75	1
225	32.25	2
226	25.25	2
228	38.0	3
229	45.0	2
230	47.625	1
231	18.75	1
232	20.5	3
233	23.375	2
234	23.75	2
235	32.375	2
236	27.0	1
237	35.375	3
238	84.75	1
239	25.75	3
240	38.0	4
241	22.0	3
242	37.125	3
243	32.5	3
244	48.75	1
245	23.125	2
246	19.375	1
247	17.25	1
248	17.0	1
249	60.0	2
250	24.25	1
251	19.625	3
252	27.625	2
253	22.75	3
254	32.5	3
255	26.5	3
256	18.0	1
257	41.75	3
258	32.25	1
259	35.75	2
260	39.25	1
261	21.25	1
262	23.125	3
263	29.0	1
264	18.25	1
265	27.375	2
266	18.0	2
267	19.375	1
268	32.0	1
269	25.25	3
270	27.75	3
271	53.125	1
272	27.25	3
273	33.25	1
274	62.75	1
275	17.5	1
276	20.625	3
277	34.25	1
278	22.5	3
279	43.375	4
280	19.0	3
281	26.5	3
282	23.5	2
283	35.25	2
284	23.5	2
285	18.25	3
286	27.25	2
287	24.375	2
288	20.5	3
289	20.375	1
290	31.375	2
291	14.75	2
292	27.75	2
293	21.625	2
294	35.125	3
295	61.125	2
296	17.5	1
297	20.75	3
298	24.25	2
299	25.25	2
300	32.875	1
301	38.25	4
302	54.0	1
303	31.375	2
304	51.75	1
305	32.5	1
306	26.625	1
307	23.375	3
308	26.0	1
309	26.0	1
310	16.625	1
311	20.0	1
312	16.25	1
313	23.0	1
314	33.0	3
315	26.0	1
316	34.75	1
317	29.0	3
318	18.5	1
319	24.25	3
320	25.75	2
321	45.25	2
322	42.75	1
323	22.0	2
324	33.5	1
325	22.25	1
326	41.25	3
327	41.0	2
328	48.375	3
330	67.75	3
331	27.25	3
332	25.625	1
333	16.375	1
334	30.25	1
335	35.0	1
336	17.75	1
337	115.75	1
338	27.25	4
339	24.5	2
340	28.375	3
341	69.875	2
342	19.625	1
343	15.25	1
344	21.0	3
345	28.75	2
346	17.5	1
347	51.0	3
348	29.0	1
349	18.5	1
350	98.25	1
351	13.875	1
352	35.875	3
353	46.75	1
354	28.0	3
355	29.5	2
356	23.625	2
357	21.25	1
358	27.0	1
359	33.875	2
360	35.125	4
361	23.5	2
362	24.625	1
363	17.375	1
364	41.0	3
365	54.625	1
366	19.0	1
367	15.75	1
368	26.375	2
369	27.5	2
370	42.75	1
371	34.25	3
372	35.5	1
373	37.625	3
374	34.5	2
375	31.375	3
376	39.625	2
377	18.25	2
378	19.75	3
379	32.0	2
380	18.75	2
381	76.875	2
382	22.25	2
383	26.5	2
384	21.25	2
385	94.0	1
386	20.875	1
387	23.25	3
388	20.25	2
389	19.375	3
390	14.75	1
391	32.0	2
392	38.5	2
393	27.5	1
394	20.0	2
395	52.5	2
396	22.125	1
397	22.75	3
398	28.75	3
399	24.125	1
400	19.25	3
401	17.5	3
402	15.25	1
403	25.0	1
404	18.125	1
405	31.5	2
406	20.875	3
407	37.875	4
408	17.5	1
409	29.5	2
410	59.25	2
411	57.0	2
412	22.25	2
413	19.5	1
414	23.875	2
415	49.75	2
416	34.625	2
417	32.75	3
418	43.625	5
419	22.125	2
420	17.25	1
421	19.5	1
422	27.5	1
423	65.0	1
425	25.625	1
426	32.75	1
427	24.0	1
428	21.5	3
429	20.25	3
430	19.5	1
431	41.625	4
432	23.25	3
433	20.5	2
434	31.625	1
435	15.25	2
436	21.625	3
437	36.625	2
438	17.75	1
439	21.0	1
440	21.25	3
441	26.625	3
442	28.75	3
443	17.25	1
444	23.0	1
445	23.625	3
446	19.0	3
447	17.75	1
448	17.25	3
449	23.0	1
450	37.75	2
451	19.75	1
452	21.0	2
453	21.5	2
454	19.375	1
455	29.625	3
456	27.75	1
457	26.5	1
458	47.125	1
459	23.125	2
460	24.25	1
461	28.0	3
462	20.125	2
463	16.0	1
464	21.25	3
465	20.25	1
466	16.5	1
467	18.375	1
468	27.375	2
469	31.75	1
470	31.25	2
471	18.25	1
472	13.875	1
473	18.0	1
474	50.25	4
475	30.5	1
476	133.625	1
477	17.625	1
478	18.625	3
479	33.75	1
480	14.75	1
481	26.0	2
482	38.875	3
483	16.0	1
484	30.0	2
485	16.25	3
486	28.25	1
487	22.0	3
488	27.25	1
489	20.5	1
490	62.625	2
491	53.5	1
492	26.25	3
493	22.25	3
494	36.25	1
495	15.5	1
496	17.5	1
497	19.375	3
498	18.75	2
499	22.5	3
500	19.0	1
501	29.375	2
502	34.0	1
503	19.25	1
504	16.25	1
505	20.5	1
506	18.75	1
507	32.5	2
508	36.0	1
509	39.375	2
510	66.0	1
512	39.0	3
513	34.75	2
514	17.0	1
515	48.75	3
516	28.375	1
517	22.0	3
518	25.5	3
519	37.375	3
520	48.375	3
521	28.25	3
522	17.5	1
523	49.25	1
524	25.0	1
525	31.0	3
526	17.5	1
527	38.625	1
528	33.5	1
529	18.0	1
530	18.875	1
531	22.75	1
532	50.125	2
533	53.625	3
534	19.625	1
535	27.0	2
536	40.375	2
537	32.375	1
538	22.75	1
539	20.75	3
540	35.25	1
541	24.0	2
542	17.5	3
543	22.25	1
544	53.0	3
545	22.5	2
546	17.5	1
547	22.0	1
548	18.75	3
549	27.625	1
550	32.625	3
551	38.375	2
552	25.0	1
553	21.5	3
555	20.625	2
556	30.75	1
557	34.25	2
558	18.625	1
559	31.0	3
560	28.75	2
561	12.5	1
562	30.75	2
563	24.625	3
564	28.75	2
565	21.5	3
566	31.75	3
567	17.5	3
568	28.25	1
569	25.0	1
570	19.75	1
571	47.25	1
572	35.625	1
573	22.5	2
575	77.375	4
576	77.0	1
577	24.0	3
578	25.375	3
579	22.125	2
580	28.75	3
581	31.25	1
582	22.25	2
583	17.5	1
584	37.375	1
585	26.25	1
586	17.75	3
587	18.5	1
588	21.25	3
589	20.125	3
590	18.25	1
591	24.375	2
592	28.625	4
593	39.125	4
594	19.375	2
595	21.75	3
596	29.25	2
597	17.75	1
598	48.625	1
599	19.75	1
600	22.125	3
601	23.875	3
602	21.25	3
603	43.625	1
604	30.375	2
605	47.125	3
606	42.875	2
607	43.5	1
608	45.625	4
609	27.75	2
611	22.5	3
612	68.5	1
614	33.5	3
615	36.0	2
616	67.125	1
618	50.5	1
619	17.0	1
620	43.625	1
621	21.625	1
622	27.0	3
623	33.125	1
624	23.25	1
625	22.75	1
626	23.75	3
627	26.125	2
628	39.875	3
629	34.875	1
630	18.0	1
631	32.25	3
632	56.875	2
633	18.75	3
634	61.125	1
635	36.75	1
636	15.0	1
637	21.75	3
638	32.5	2
639	34.25	1
640	30.625	2
641	46.25	1
642	23.25	1
643	19.375	1
644	39.0	1
645	21.875	3
646	46.75	2
647	22.5	2
