ID	OPC	CUSPS
1	13.5	1
2	15.0	1
3	11.0	1
4	18.25	1
5	16.25	1
6	12.75	1
7	12.875	1
8	12.25	1
9	14.0	1
10	15.75	1
11	12.75	1
12	12.625	1
13	12.25	1
14	15.25	1
15	13.125	1
16	11.25	1
17	14.5	1
18	14.75	1
19	16.5	1
20	13.0	1
21	13.5	1
22	13.25	1
23	19.875	1
24	14.5	1
25	17.0	1
26	13.75	1
27	12.0	1
28	16.5	1
29	13.5	1
30	15.5	1
31	14.75	1
32	18.0	1
33	13.0	1
34	11.375	1
35	12.75	1
36	15.5	1
37	12.625	1
38	16.75	1
39	14.75	1
40	14.25	1
41	17.0	1
42	12.75	1
43	13.25	1
44	17.125	1
45	13.625	1
46	13.75	1
47	16.5	1
48	12.5	1
49	12.5	1
50	12.25	1
51	16.875	1
52	11.5	1
53	13.875	1
54	14.5	1
55	13.75	1
56	12.125	1
57	13.25	1
58	15.75	1
59	17.75	1
60	12.625	1
61	15.0	1
62	12.5	1
63	13.0	1
64	12.75	1
65	11.25	1
66	14.75	1
67	13.75	1
68	12.5	1
69	12.125	1
70	17.0	1
71	12.75	1
72	13.0	1
73	15.0	1
74	12.875	1
75	12.625	1
76	16.75	1
77	13.5	1
78	12.5	1
79	12.25	1
80	16.75	1
81	13.0	1
82	18.25	1
83	12.5	1
84	14.75	1
85	16.75	1
86	13.75	1
87	12.5	1
88	14.0	1
89	13.5	1
90	17.0	1
91	12.75	1
92	13.75	1
93	14.5	1
94	18.25	1
95	11.0	1
96	32.0	1
97	16.0	1
98	14.375	1
99	16.625	1
100	13.75	1
101	12.25	1
102	16.25	1
103	13.75	1
104	11.5	1
105	17.25	1
106	16.625	1
107	14.0	1
108	13.5	1
109	12.0	1
110	12.75	1
111	13.0	1
112	17.0	1
113	13.0	1
114	16.25	1
115	12.0	1
116	13.75	1
117	12.875	1
118	13.25	1
119	14.75	1
120	12.75	1
121	16.875	1
122	16.75	1
123	12.5	1
124	13.0	1
125	15.75	1
126	11.75	1
127	11.5	1
128	17.0	1
129	12.5	1
130	12.75	1
131	16.25	1
132	14.0	1
133	13.25	1
134	16.25	1
135	11.75	1
136	15.875	1
137	18.75	1
138	16.0	1
139	13.5	1
140	16.0	1
141	15.75	1
142	12.875	1
143	17.0	1
144	14.5	1
145	14.0	1
146	10.625	1
147	10.75	1
148	16.0	1
149	18.0	1
150	12.75	1
151	19.0	1
152	16.0	1
153	15.0	1
154	11.875	1
155	12.75	1
156	12.75	1
157	11.75	1
158	12.625	1
159	18.0	1
160	13.0	1
161	13.625	1
162	13.0	1
163	13.75	1
164	19.75	1
165	16.25	1
166	14.25	1
167	12.5	1
168	13.125	1
169	11.75	1
170	14.75	1
171	11.5	1
172	13.25	1
173	15.75	1
174	14.875	1
175	13.0	1
176	12.875	1
177	12.25	1
178	12.5	1
179	16.125	1
180	12.75	1
181	15.0	1
182	13.25	1
183	12.0	1
184	13.0	1
185	16.0	1
186	12.75	1
187	13.5	1
188	13.25	1
189	17.75	1
190	14.5	1
191	20.625	1
192	14.875	1
193	13.75	1
194	13.25	1
195	13.0	1
196	15.125	1
197	13.25	1
198	16.75	1
199	18.75	1
200	12.75	1
201	12.0	1
202	13.125	1
203	22.0	1
204	13.0	1
205	11.5	1
206	15.375	1
207	11.5	1
208	18.125	1
209	20.5	1
210	13.75	1
211	11.5	1
212	11.75	1
213	13.5	1
214	13.5	1
215	16.5	1
216	13.0	1
217	12.0	1
218	15.0	1
219	13.875	1
220	18.75	1
221	12.25	1
222	12.5	1
223	17.5	1
224	16.0	1
225	13.5	1
226	13.5	1
227	12.5	1
228	15.75	1
229	13.0	1
230	11.75	1
231	17.0	1
232	14.75	1
233	11.75	1
234	13.25	1
235	13.25	1
236	16.25	1
237	17.0	1
238	21.875	1
239	17.0	1
240	16.5	1
241	14.75	1
242	17.625	1
243	14.75	1
244	13.75	1
245	15.25	1
246	15.75	1
247	11.875	1
248	14.5	1
249	16.25	1
250	19.0	1
251	14.75	1
252	11.75	1
253	15.75	1
254	12.375	1
255	16.75	1
256	14.25	1
257	13.5	1
258	14.75	1
259	12.25	1
260	16.75	1
261	12.5	1
262	16.5	1
263	15.0	1
264	14.875	1
265	13.5	1
266	13.25	1
267	18.875	1
268	11.75	1
269	11.75	1
270	15.75	1
271	12.75	1
272	14.75	1
273	15.0	1
274	16.0	1
275	13.0	1
276	13.0	1
277	13.25	1
278	15.75	1
279	16.0	1
280	14.0	1
281	14.75	1
282	18.0	1
283	17.125	1
284	12.5	1
285	13.0	1
286	14.25	1
287	16.75	1
288	14.625	1
289	16.5	1
