ID	OPC	CUSPS
1	66.75	6
2	19.25	1
3	25.5	1
5	21.75	1
6	43.375	4
7	18.75	1
8	71.5	3
9	97.0	3
10	80.25	2
11	51.375	3
12	45.125	2
14	189.625	4
15	48.75	4
16	28.875	1
17	21.125	1
18	33.375	4
20	87.0	2
21	35.25	1
22	100.125	1
23	97.25	5
24	22.75	2
25	42.75	3
26	29.75	3
27	27.25	1
28	38.25	3
29	28.375	1
30	26.0	3
31	16.125	1
32	74.5	4
33	77.125	5
34	79.875	3
35	47.25	3
36	46.625	4
37	218.5	1
38	41.625	3
39	40.0	3
40	18.5	1
41	25.0	2
42	71.75	5
43	21.75	1
44	45.875	1
45	37.75	1
46	39.875	1
47	59.875	3
48	30.25	2
49	70.625	1
50	32.375	2
51	61.625	4
52	86.75	5
53	28.5	1
54	53.75	1
55	63.75	3
56	41.375	3
57	21.25	3
58	45.25	3
59	114.0	5
61	34.25	3
62	17.625	1
63	55.5	3
64	40.125	3
65	53.75	2
66	79.0	1
67	49.0	5
69	19.0	1
70	130.5	2
71	20.625	3
72	75.375	4
73	85.375	1
74	18.0	1
75	33.25	3
76	80.375	4
77	30.0	2
78	46.625	4
80	20.75	2
81	39.5	1
82	84.25	5
83	20.125	2
84	27.25	1
85	24.125	3
86	78.0	5
87	39.5	5
88	27.25	1
89	77.75	1
90	45.25	5
91	50.375	3
92	69.125	6
93	47.25	3
94	42.875	3
95	29.5	1
96	139.5	2
97	24.25	1
98	26.0	2
99	85.75	3
100	29.75	3
101	94.5	1
102	61.0	3
103	67.25	1
104	56.75	5
105	138.0	1
106	137.625	1
107	20.5	3
108	25.0	1
110	332.0	1
112	38.0	3
113	57.375	5
114	25.0	3
115	20.5	2
116	20.5	1
117	132.375	1
119	56.0	3
120	23.25	2
121	78.25	4
122	31.0	2
123	241.125	4
124	58.625	4
125	58.125	5
126	47.0	3
127	27.0	1
128	41.0	1
129	56.375	2
130	38.0	3
131	29.25	1
132	50.0	1
134	41.625	2
135	32.375	4
136	103.0	3
137	61.75	4
138	70.5	6
139	41.375	3
141	49.5	2
142	84.25	3
143	33.875	4
144	37.125	4
145	28.875	1
146	95.75	1
147	28.125	3
148	38.0	3
149	130.0	3
150	26.125	3
151	27.125	2
153	33.0	1
154	51.5	4
155	33.875	3
156	19.75	1
157	53.0	1
158	113.125	4
160	95.625	5
161	66.75	3
162	22.75	1
163	20.25	1
164	90.125	6
